Chegada,Embarcação,Mercadoria,Saldo Total,Sentido
19/01/2025 12:12,CHISE BULKER,PASTA QUIM.MADEIRA DE N/CONIF.,"1.996,000 Tons.",Exp
18/01/2025 04:30,CASDA,AÇÚCAR,"13.093,370 Tons.",Exp
11/01/2025 00:15,YASA KAPTAN ERBIL,SOJA,"50.370,220 Tons.",Exp
07/01/2025 01:18,SERENA,CEVADA CERVEJEIRA,"15.381,440 Tons.",Imp
01/01/2025 08:48,KEY HUNTER,FARELO DE SOJA,"42.964,930 Tons.",Exp
31/12/2024 07:36,AMALEA,OUTS.ACUCARES,"4.913,220 Tons.",Exp
19/12/2024 17:28,BROAD BONNIE,SOJA,"11.217,540 Tons.",Exp
19/12/2024 12:30,LORD BYRON,SULFATO DE AMONIO,"32.927,140 Tons.",Imp
19/12/2024 15:00,ZEYNEP C,CLORETO DE POTASSIO,"2.515,200 Tons.",Imp
17/12/2024 12:56,PAN BONITA,MAP,"10.335,090 Tons.",Imp
13/12/2024 23:30,IONIC KIBOU,SULFATO DE AMONIO,"55.565,420 Tons.",Imp
26/11/2024 12:30,ATALANTA,SULFATO DE AMONIO,"9.666,000 Tons.",Imp
,TRAIGUEN,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,LINDANGER,METANOL,,Imp
,SHAMROCK MERCURY,SODA CÁUSTICA,,Imp
19/01/2025 19:40,MARCOS DIAS,SAL MARINHO,,Imp
16/01/2025 17:54,AQUA LADY,FARELO DE SOJA,,Exp
11/01/2025 18:00,REA,FARELO DE SOJA,,Exp
12/01/2025 03:00,PESSADA,MILHO,,Exp
04/01/2025 11:06,UNION GROOVE,NITRATO DE AMONIO,,Imp
20/12/2024 09:00,WISTERIA,DAP - Fosfato Diamonico,,Imp
30/11/2024 03:18,PELAGIA,FERTILIZ.MINER.QUIM.C/NITROGEN,,Imp
21/01/2025 09:43,CRIMSON AMBER,SOJA,,Exp
13/01/2025 09:23,ATALANTA,SOJA,,Exp
20/01/2025 00:01,STABILITY,MILHO,,Exp
19/01/2025 17:42,GRAND OCEAN,SOJA,,Exp
19/01/2025 06:00,THALIS,MAP,,Imp
03/12/2024 04:30,CL XINYU,SOJA,,Exp
18/01/2025 09:00,MIDJUR,MAP,,Imp
16/01/2025 14:42,JUN MA,OLEO DIESEL,,Imp
14/01/2025 16:00,AMARYLLIS,SULFATO DE AMONIO,,Imp
14/01/2025 04:54,CEDAR ARROW,DAP - Fosfato Diamonico,,Imp
11/01/2025 22:12,KEY OHANA,"SUPERFOSFATO, MINERAIS OU QUIM",,Imp
11/01/2025 13:12,FASSA,CLORETOS DE POTASSIO,,Imp
10/01/2025 16:24,BAHRI HAYA,FARELO DE SOJA,,Exp
03/01/2025 01:20,FORZA ROMA,OUTS.ACUCARES,,Exp
02/01/2025 17:30,BBG INTEGRITY,SULFATO DE AMONIO,,Imp
31/12/2024 23:00,IONIC KALLIRHOE,SULFATO DE AMONIO,,Imp
28/12/2024 01:42,CRIMSON AMBER,SULFATO DE AMONIO,,Imp
27/12/2024 16:00,MAROUDIO,CLORETOS DE POTASSIO,,Imp
25/12/2024 18:48,JABAL AR RAWDAH,UREIA,,Imp
23/12/2024 11:30,SELIN-M,UREIA,,Imp
21/12/2024 23:59,PORT OSHIMA,CLORETOS DE POTASSIO,,Imp
21/12/2024 21:12,HARMONY,UREIA,,Imp
21/12/2024 04:30,BH POWER,SULFATO DE AMONIO,,Imp
20/12/2024 16:48,IONIAN SEA,SULFATO DE AMONIO,,Imp
19/12/2024 19:00,MYKONOS DAWN,ADUBOS OU FERTILIZANTES C/NITR,,Imp
,L AUSTRAL,PASSAGEIROS,,Imp
,SILVER WHISPER,PASSAGEIROS,,Exp
,SILVER WHISPER,PASSAGEIROS,,Imp/Exp
,SILVER WHISPER,PASSAGEIROS,,Imp/Exp
,JAZAN,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NC BRAVO,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,PARANAGUA EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,IRENES RESOLVE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NC BRISA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,VERILA,FOSFATO MONO OU DISSODICO,,Imp
,LE HAVRE EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NC BREDA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,CZECH,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,CAUQUENES,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,SALVADOR EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,IRENES WISDOM,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NC BRUMA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
