NavioShip,OperaçOperat,BandeiraFlag,Cheg/Arrivald/m/y,MercadoriaGoods,PesoWeight
CUMBIA 1,EMB,ILHAS MARSHALL,15/01/2025 13:44:00,OLEO COMBUSTIVEL,30000
PRAVASI,DESC,REP. GABON,15/01/2025 19:42:00,OLEO DIESEL,26821
ARCTOS,EMB,LIBERIANA,16/01/2025 10:00:00,OLEO DIESEL,30000
CLARITY,EMB,LIBERIANA,18/01/2025 18:30:00,OLEO COMBUSTIVEL,30000
ANITA GARIBALDI,EMB,BRASILEIRA,19/01/2025 15:30:00,OLEO COMBUSTIVEL,60000
ECO ORACLE,DESC,ILHAS MARSHALL,19/01/2025 22:54:00,GRAN.LIQUIDO NAO ESPECIF,16799
ALESSANDRO VOLTA,DESC,ITALIANA,21/01/2025,GAS LIQUEFEITO,4000
ALTAIR,EMB,BAHAMENSE,21/01/2025,OLEO DIESEL,30000
ELANDRA STAR,EMB,ILHAS MARSHALL,21/01/2025,OLEO DIESEL,30000
JAKARTA,EMB,LIBERIANA,21/01/2025,OLEO COMBUSTIVEL,50000
LUIGI LAGRANGE,DESC,ITALIANA,21/01/2025,GAS LIQUEFEITO,10000
MANDALA,DESC,LIBERIANA,21/01/2025,OLEO DIESEL,38863
MARLIN,EMB,LIBERIANA,21/01/2025,OLEO DIESEL,16000
MERSEY,EMB,ILHAS MARSHALL,21/01/2025,OLEO DIESEL,30000
SOUTHERN QUOKKA,EMB,LIBERIANA,21/01/2025,GRAN.LIQUIDO NAO ESPECIF,2500
STI JARDINS,EMB,ILHAS MARSHALL,21/01/2025,GASOLINA COMUM,25000
VORIAS,EMB,LIBERIANA,21/01/2025,OLEO DIESEL,30000
WITHAM,DESC,SINGAPURENSE,21/01/2025,OLEO LUBRIFICANTE,2992
CLARICE,DESC,SINGAPURENSE,22/01/2025,GRAN.LIQUIDO NAO ESPECIF,4848
BOW LYNX,EMB,PANAMENHA,22/01/2025 07:00:00,GRAN.LIQUIDO NAO ESPECIF,2280
ORANGE SUN,EMB,LIBERIANA,23/01/2025,SUCOS CITRICOS A GRANEL,30000
CASTILLO DE MACEDA (REB),DESC,BRASILEIRA,23/01/2025 01:00:00,SODA CAUSTICA,8001
HORIZON ARMONIA,EMB,LIBERIANA,23/01/2025 09:22:00,OLEO DIESEL,25000
ARDMORE GIBRALTAR,EMB,SINGAPURENSE,23/01/2025 09:32:00,GASOLINA COMUM,25000
HONESTY,EMB,LIBERIANA,23/01/2025 11:46:00,OLEO COMBUSTIVEL,30000
CARLOS FISCHER,EMB,LIBERIANA,26/01/2025 08:00:00,SUCOS CITRICOS A GRANEL,32040
ORANGE OCEAN,EMB,LIBERIANA,28/01/2025,SUCOS CITRICOS A GRANEL,17000
BOW PERSISTENT,DESC,NORUEGUESA,28/01/2025 06:00:00,GRAN.LIQUIDO NAO ESPECIF,19194
BOW HECTOR,DESC,NORUEGUESA,28/01/2025 07:00:00,GRAN.LIQUIDO NAO ESPECIF,4912
FLUMAR MACEIO (REB),DESC,BRASILEIRA,28/01/2025 07:00:00,GRAN.LIQUIDO NAO ESPECIF,1900
ORANGE STAR,EMB,LIBERIANA,01/02/2025,SUCOS CITRICOS A GRANEL,32000
STAVANGER POSEIDON,DESC,NORUEGUESA,02/02/2025 07:00:00,GRAN.LIQUIDO NAO ESPECIF,11622
PREMIUM DO BRASIL,EMB,LIBERIANA,02/02/2025 08:00:00,SUCOS CITRICOS A GRANEL,30080
ORANGE BLOSSOM 2,EMB,LIBERIANA,07/02/2025,SUCOS CITRICOS A GRANEL,17000
ORANGE SKY,EMB,LIBERIANA,08/02/2025,SUCOS CITRICOS A GRANEL,18400
JUMEIRAH BEACH,DESC,HONG KONG,24/01/2025,TRIGO A GRANEL,29700
YM PIONEER,EMB,LIBERIANA,08/12/2024 17:20:00,SOJA A GRANEL,69300
GLOBE DANAE,EMB,ILHAS MARSHALL,13/01/2025 10:18:00,SOJA A GRANEL,63000
FREYA SCHULTE,EMB,SINGAPURENSE,13/01/2025 17:00:00,MILHO A GRANEL,37000
CL DAYANG HE,EMB,LIBERIANA,16/01/2025 10:12:00,SOJA A GRANEL,68300
VICTORIA,EMB,ILHAS MARSHALL,16/01/2025 17:45:00,PELLETS A GRANEL,55000
JY SHANGHAI,EMB,ILHAS MARSHALL,16/01/2025 22:18:00,SOJA A GRANEL,69701
MEDI EGADI,EMB,LIBERIANA,21/01/2025,MILHO A GRANEL,71437
