Arrival Date,Ship,Product,Volume,Direction,Port
2025-01-19,CHISE BULKER,PASTA QUIM.MADEIRA DE N/CONIF.,1996000.0,Exp,PARANAGUA
2025-01-18,CASDA,AÇÚCAR,13093370.0,Exp,PARANAGUA
2025-01-11,YASA KAPTAN ERBIL,SOJA,50370220.0,Exp,PARANAGUA
2025-01-07,SERENA,CEVADA CERVEJEIRA,15381440.0,Imp,PARANAGUA
2025-01-01,KEY HUNTER,FARELO DE SOJA,42964930.0,Exp,PARANAGUA
2024-12-31,AMALEA,OUTS.ACUCARES,4913220.0,Exp,PARANAGUA
2024-12-19,BROAD BONNIE,SOJA,11217540.0,Exp,PARANAGUA
2024-12-19,LORD BYRON,SULFATO DE AMONIO,32927140.0,Imp,PARANAGUA
2024-12-19,ZEYNEP C,CLORETO DE POTASSIO,2515200.0,Imp,PARANAGUA
2024-12-17,PAN BONITA,MAP,10335090.0,Imp,PARANAGUA
2024-12-13,IONIC KIBOU,SULFATO DE AMONIO,55565420.0,Imp,PARANAGUA
2024-11-26,ATALANTA,SULFATO DE AMONIO,9666000.0,Imp,PARANAGUA
2025-01-19,MARCOS DIAS,SAL MARINHO,,Imp,PARANAGUA
2025-01-16,AQUA LADY,FARELO DE SOJA,,Exp,PARANAGUA
2025-01-11,REA,FARELO DE SOJA,,Exp,PARANAGUA
2025-01-12,PESSADA,MILHO,,Exp,PARANAGUA
2025-01-04,UNION GROOVE,NITRATO DE AMONIO,,Imp,PARANAGUA
2024-12-20,WISTERIA,DAP - Fosfato Diamonico,,Imp,PARANAGUA
2024-11-30,PELAGIA,FERTILIZ.MINER.QUIM.C/NITROGEN,,Imp,PARANAGUA
2025-01-21,CRIMSON AMBER,SOJA,,Exp,PARANAGUA
2025-01-13,ATALANTA,SOJA,,Exp,PARANAGUA
2025-01-20,STABILITY,MILHO,,Exp,PARANAGUA
2025-01-19,GRAND OCEAN,SOJA,,Exp,PARANAGUA
2025-01-19,THALIS,MAP,,Imp,PARANAGUA
2024-12-03,CL XINYU,SOJA,,Exp,PARANAGUA
2025-01-18,MIDJUR,MAP,,Imp,PARANAGUA
2025-01-16,JUN MA,OLEO DIESEL,,Imp,PARANAGUA
2025-01-14,AMARYLLIS,SULFATO DE AMONIO,,Imp,PARANAGUA
2025-01-14,CEDAR ARROW,DAP - Fosfato Diamonico,,Imp,PARANAGUA
2025-01-11,KEY OHANA,"SUPERFOSFATO, MINERAIS OU QUIM",,Imp,PARANAGUA
2025-01-11,FASSA,CLORETOS DE POTASSIO,,Imp,PARANAGUA
2025-01-10,BAHRI HAYA,FARELO DE SOJA,,Exp,PARANAGUA
2025-01-03,FORZA ROMA,OUTS.ACUCARES,,Exp,PARANAGUA
2025-01-02,BBG INTEGRITY,SULFATO DE AMONIO,,Imp,PARANAGUA
2024-12-31,IONIC KALLIRHOE,SULFATO DE AMONIO,,Imp,PARANAGUA
2024-12-28,CRIMSON AMBER,SULFATO DE AMONIO,,Imp,PARANAGUA
2024-12-27,MAROUDIO,CLORETOS DE POTASSIO,,Imp,PARANAGUA
2024-12-25,JABAL AR RAWDAH,UREIA,,Imp,PARANAGUA
2024-12-23,SELIN-M,UREIA,,Imp,PARANAGUA
2024-12-21,PORT OSHIMA,CLORETOS DE POTASSIO,,Imp,PARANAGUA
2024-12-21,HARMONY,UREIA,,Imp,PARANAGUA
2024-12-21,BH POWER,SULFATO DE AMONIO,,Imp,PARANAGUA
2024-12-20,IONIAN SEA,SULFATO DE AMONIO,,Imp,PARANAGUA
2024-12-19,MYKONOS DAWN,ADUBOS OU FERTILIZANTES C/NITR,,Imp,PARANAGUA
2025-01-18,MSC ALBANY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2025-01-19,MSC SHUBA B,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2025-01-20,SAN ANTONIO MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2025-01-19,ADRIATIC HIGHWAY,VEICULOS,,Imp/Exp,PARANAGUA
2025-01-20,ZIM BALTIMORE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2025-01-19,TORM AMORINA,OLEO DE MILHO,,Exp,PARANAGUA
2025-01-18,ALPINE LIBERTY,OLEO DE SOJA,,Exp,PARANAGUA
2025-01-18,POLARIS LEADER,VEICULOS,,Imp/Exp,PARANAGUA
2025-01-18,BF HAMBURG,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2024-01-19,MAERSK EL PALOMAR,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2025-01-20,GREEN VITORIA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
2025-01-11,JEN LR,MILHO,,Exp,PARANAGUA
2025-01-10,KERKYRA,FARELO DE SOJA,,Exp,PARANAGUA
2025-01-08,PEAK RAINIER,FARELO DE SOJA,,Exp,PARANAGUA
2025-01-04,AFRICAN TOUCAN,OUT.TRIGOS E MISTURAS DE TRIGO,,Imp,PARANAGUA
2024-12-03,CL XINYU,SULFATO DE AMONIO,,Imp,PARANAGUA
2025-01-21,ALESSANDRO VOLTA,GAS LIQUEFEITO,4000.0,IMP,SANTOS
2025-01-21,ALTAIR,OLEO DIESEL,30000.0,EXP,SANTOS
2025-01-21,ELANDRA STAR,OLEO DIESEL,30000.0,EXP,SANTOS
2025-01-21,JAKARTA,OLEO COMBUSTIVEL,50000.0,EXP,SANTOS
2025-01-21,LUIGI LAGRANGE,GAS LIQUEFEITO,10000.0,IMP,SANTOS
2025-01-21,MANDALA,OLEO DIESEL,38863.0,IMP,SANTOS
2025-01-21,MARLIN,OLEO DIESEL,16000.0,EXP,SANTOS
2025-01-21,MERSEY,OLEO DIESEL,30000.0,EXP,SANTOS
2025-01-21,SOUTHERN QUOKKA,GRAN.LIQUIDO NAO ESPECIF,2500.0,EXP,SANTOS
2025-01-21,STI JARDINS,GASOLINA COMUM,25000.0,EXP,SANTOS
2025-01-21,VORIAS,OLEO DIESEL,30000.0,EXP,SANTOS
2025-01-21,WITHAM,OLEO LUBRIFICANTE,2992.0,IMP,SANTOS
2025-01-22,CLARICE,GRAN.LIQUIDO NAO ESPECIF,4848.0,IMP,SANTOS
2025-01-23,ORANGE SUN,SUCOS CITRICOS A GRANEL,30000.0,EXP,SANTOS
2025-01-28,ORANGE OCEAN,SUCOS CITRICOS A GRANEL,17000.0,EXP,SANTOS
2025-02-01,ORANGE STAR,SUCOS CITRICOS A GRANEL,32000.0,EXP,SANTOS
2025-02-07,ORANGE BLOSSOM 2,SUCOS CITRICOS A GRANEL,17000.0,EXP,SANTOS
2025-02-08,ORANGE SKY,SUCOS CITRICOS A GRANEL,18400.0,EXP,SANTOS
2025-01-24,JUMEIRAH BEACH,TRIGO A GRANEL,29700.0,IMP,SANTOS
2025-01-21,MEDI EGADI,MILHO A GRANEL,71437.0,EXP,SANTOS
2025-01-28,PHOENIX,SOJA A GRANEL,69300.0,EXP,SANTOS
2025-01-21,CAPTAIN D LEMPESIS,FERTILIZANTES,17000.0,IMP,SANTOS
2025-01-21,EQUINOX STAR,FERTILIZANTES,14170.0,IMP,SANTOS
2025-01-21,SSI DISCOVERY,ACUCAR A GRANEL,60500.0,EXP,SANTOS
2025-01-21,GRANDE LAGOS,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200.0,Other,SANTOS
2025-01-28,CHESAPEAKE HIGHWAY,VEICULO,9800.0,EXP,SANTOS
2025-01-21,BRAM ATLAS,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,BRAM ATLAS,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,BRAM TITAN,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,BRAM TITAN,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,C TEMPORAL,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,CBO FLAMENGO,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,HOS REMINGTON,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,HOS TAURUS (REB),CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,NORMAND MAXIMUS,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,SKANDI AMAZONAS,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,SKANDI AMAZONAS,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,SKANDI ANGRA,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,SKANDI ANGRA,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,SKANDI IGUAÇU,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,SKANDI IGUAÇU,CARGA GERAL,1.0,EXP,SANTOS
2025-01-21,LARCH ARROW,PAPEL E CELULOSE,28100.0,EXP,SANTOS
2025-01-23,KALIMANTAN EXPRESS,PAPEL E CELULOSE,47500.0,EXP,SANTOS
2025-01-21,ALESSIA,CONTEINERES CHEIOSCONTEINERES CHEIOS,108003600.0,Other,SANTOS
2025-01-21,ALS VESTA,CONTEINERES CHEIOSCONTEINERES CHEIOS,54005400.0,Other,SANTOS
2025-01-21,AS CASPRIA,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-21,BREMERHAVEN EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,108026226.0,Other,SANTOS
2025-01-21,BRIGHT,CONTEINERES CHEIOSCONTEINERES CHEIOS,54005400.0,Other,SANTOS
2025-01-21,BROOKLYN BRIDGE,CONTEINERES CHEIOSCONTEINERES CHEIOS,153001530.0,Other,SANTOS
2025-01-21,CMA CGM PLATON,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-21,ENSENADA,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-21,LOG-IN EVOLUTION,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200.0,Other,SANTOS
2025-01-21,LOG-IN EXPERIENCE (REB),CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200.0,Other,SANTOS
2025-01-21,MAERSK MONTE ALEGRE,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-21,MSC ALICANTE,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400.0,Other,SANTOS
2025-01-21,MSC ALIYA,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000.0,Other,SANTOS
2025-01-21,MSC BARCELONA,CONTEINERES CHEIOSCONTEINERES CHEIOS,1800.0,EXP,SANTOS
2025-01-21,MSC CARMELITA,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000.0,Other,SANTOS
2025-01-21,MSC CHIARA X,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800.0,Other,SANTOS
2025-01-21,MSC CLEA,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800.0,Other,SANTOS
2025-01-21,MSC DOMITILLE,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800.0,Other,SANTOS
2025-01-21,MSC MAXINE,CONTEINERES CHEIOSCONTEINERES CHEIOS,180012600.0,Other,SANTOS
2025-01-21,MSC NOA,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400.0,Other,SANTOS
2025-01-21,MSC PEGASUS VII,CONTEINERES CHEIOSCONTEINERES CHEIOS,180014400.0,Other,SANTOS
2025-01-21,MSC PILAR VI,CONTEINERES CHEIOSCONTEINERES CHEIOS,180027000.0,Other,SANTOS
2025-01-21,MSC PUSAN,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800.0,Other,SANTOS
2025-01-21,MSC SANTA MARIA,CONTEINERES CHEIOSCONTEINERES CHEIOS,270001800.0,Other,SANTOS
2025-01-21,NC BREDA (REB S/L),CONTEINERES CHEIOSCONTEINERES CHEIOS,45006300.0,Other,SANTOS
2025-01-21,PALENA,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300.0,Other,SANTOS
2025-01-21,PARANAGUA EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,21852180.0,Other,SANTOS
2025-01-21,SEATTLE C,CONTEINERES CHEIOSCONTEINERES CHEIOS,180010800.0,Other,SANTOS
2025-01-21,TOKYO BAY,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300.0,Other,SANTOS
2025-01-21,TRAIGUEN,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-21,XIAMEN EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,17370360.0,Other,SANTOS
2025-01-22,CORCOVADO,CONTEINERES CHEIOSCONTEINERES CHEIOS,10814760.0,Other,SANTOS
2025-01-22,RDO FORTUNE,CONTEINERES CHEIOSCONTEINERES CHEIOS,2106.0,EXP,SANTOS
2025-01-23,IRENES RULE,CONTEINERES CHEIOSCONTEINERES CHEIOS,4536360.0,Other,SANTOS
2025-01-23,MONTE ROSA,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-24,GSL ARCADIA,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-24,PEDRO ÁLVARES CABRAL,CONTEINERES CHEIOSCONTEINERES CHEIOS,36003600.0,Other,SANTOS
2025-01-25,CAPE PIONEER,CONTEINERES CHEIOSCONTEINERES CHEIOS,18666126.0,Other,SANTOS
2025-01-26,DALIAN EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,162015300.0,Other,SANTOS
2025-01-26,SAN RAPHAEL MAERSK,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800.0,Other,SANTOS
2025-01-27,DUSSELDORF EXPRESS,CONTEINERES CHEIOSCONTEINERES CHEIOS,128344266.0,Other,SANTOS
2025-01-27,NC BRAVO (REB S/L),CONTEINERES CHEIOSCONTEINERES CHEIOS,45006300.0,Other,SANTOS
