Arrival Date,Ship,Product,Volume,Direction,Port
19/01/2025 12:12,CHISE BULKER,PASTA QUIM.MADEIRA DE N/CONIF.,"1.996,000 Tons.",Exp,PARANAGUA
18/01/2025 04:30,CASDA,AÇÚCAR,"13.093,370 Tons.",Exp,PARANAGUA
11/01/2025 00:15,YASA KAPTAN ERBIL,SOJA,"50.370,220 Tons.",Exp,PARANAGUA
07/01/2025 01:18,SERENA,CEVADA CERVEJEIRA,"15.381,440 Tons.",Imp,PARANAGUA
01/01/2025 08:48,KEY HUNTER,FARELO DE SOJA,"42.964,930 Tons.",Exp,PARANAGUA
31/12/2024 07:36,AMALEA,OUTS.ACUCARES,"4.913,220 Tons.",Exp,PARANAGUA
19/12/2024 17:28,BROAD BONNIE,SOJA,"11.217,540 Tons.",Exp,PARANAGUA
19/12/2024 12:30,LORD BYRON,SULFATO DE AMONIO,"32.927,140 Tons.",Imp,PARANAGUA
19/12/2024 15:00,ZEYNEP C,CLORETO DE POTASSIO,"2.515,200 Tons.",Imp,PARANAGUA
17/12/2024 12:56,PAN BONITA,MAP,"10.335,090 Tons.",Imp,PARANAGUA
13/12/2024 23:30,IONIC KIBOU,SULFATO DE AMONIO,"55.565,420 Tons.",Imp,PARANAGUA
26/11/2024 12:30,ATALANTA,SULFATO DE AMONIO,"9.666,000 Tons.",Imp,PARANAGUA
,TRAIGUEN,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,LINDANGER,METANOL,,Imp,PARANAGUA
,SHAMROCK MERCURY,SODA CÁUSTICA,,Imp,PARANAGUA
19/01/2025 19:40,MARCOS DIAS,SAL MARINHO,,Imp,PARANAGUA
16/01/2025 17:54,AQUA LADY,FARELO DE SOJA,,Exp,PARANAGUA
11/01/2025 18:00,REA,FARELO DE SOJA,,Exp,PARANAGUA
12/01/2025 03:00,PESSADA,MILHO,,Exp,PARANAGUA
04/01/2025 11:06,UNION GROOVE,NITRATO DE AMONIO,,Imp,PARANAGUA
20/12/2024 09:00,WISTERIA,DAP - Fosfato Diamonico,,Imp,PARANAGUA
30/11/2024 03:18,PELAGIA,FERTILIZ.MINER.QUIM.C/NITROGEN,,Imp,PARANAGUA
21/01/2025 09:43,CRIMSON AMBER,SOJA,,Exp,PARANAGUA
13/01/2025 09:23,ATALANTA,SOJA,,Exp,PARANAGUA
20/01/2025 00:01,STABILITY,MILHO,,Exp,PARANAGUA
19/01/2025 17:42,GRAND OCEAN,SOJA,,Exp,PARANAGUA
19/01/2025 06:00,THALIS,MAP,,Imp,PARANAGUA
18/01/2025 09:00,MIDJUR,MAP,,Imp,PARANAGUA
16/01/2025 14:42,JUN MA,OLEO DIESEL,,Imp,PARANAGUA
14/01/2025 16:00,AMARYLLIS,SULFATO DE AMONIO,,Imp,PARANAGUA
14/01/2025 04:54,CEDAR ARROW,DAP - Fosfato Diamonico,,Imp,PARANAGUA
11/01/2025 22:12,KEY OHANA,"SUPERFOSFATO, MINERAIS OU QUIM",,Imp,PARANAGUA
11/01/2025 13:12,FASSA,CLORETOS DE POTASSIO,,Imp,PARANAGUA
10/01/2025 16:24,BAHRI HAYA,FARELO DE SOJA,,Exp,PARANAGUA
03/01/2025 01:20,FORZA ROMA,OUTS.ACUCARES,,Exp,PARANAGUA
02/01/2025 17:30,BBG INTEGRITY,SULFATO DE AMONIO,,Imp,PARANAGUA
31/12/2024 23:00,IONIC KALLIRHOE,SULFATO DE AMONIO,,Imp,PARANAGUA
28/12/2024 01:42,CRIMSON AMBER,SULFATO DE AMONIO,,Imp,PARANAGUA
27/12/2024 16:00,MAROUDIO,CLORETOS DE POTASSIO,,Imp,PARANAGUA
25/12/2024 18:48,JABAL AR RAWDAH,UREIA,,Imp,PARANAGUA
23/12/2024 11:30,SELIN-M,UREIA,,Imp,PARANAGUA
21/12/2024 23:59,PORT OSHIMA,CLORETOS DE POTASSIO,,Imp,PARANAGUA
21/12/2024 21:12,HARMONY,UREIA,,Imp,PARANAGUA
21/12/2024 04:30,BH POWER,SULFATO DE AMONIO,,Imp,PARANAGUA
20/12/2024 16:48,IONIAN SEA,SULFATO DE AMONIO,,Imp,PARANAGUA
19/12/2024 19:00,MYKONOS DAWN,ADUBOS OU FERTILIZANTES C/NITR,,Imp,PARANAGUA
,L AUSTRAL,PASSAGEIROS,,Imp,PARANAGUA
,SILVER WHISPER,PASSAGEIROS,,Imp/Exp,PARANAGUA
,JAZAN,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,PARANAGUA EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,VERILA,FOSFATO MONO OU DISSODICO,,Imp,PARANAGUA
,LE HAVRE EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,CZECH,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,CAUQUENES,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,IRENES WISDOM,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,BBC URANUS,FERTILIZ.MINER.QUIM.C/NITROGEN,,Imp,PARANAGUA
,UACC SHAMIYA,OUTROS OLEOS DE DENDE,,Imp,PARANAGUA
,VASCO DA GAMA,PASSAGEIROS,,Imp/Exp,PARANAGUA
,MONA LISA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,C HUNNA,UREIA,,Imp,PARANAGUA
,STAR LOUISIANA,PASTA QUIM.MADEIRA DE N/CONIF.,,Exp,PARANAGUA
,DALIAN EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,NC BRAVO,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,CL FUGOU,OLEO DE SOJA,,Exp,PARANAGUA
,SALVADOR EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,WEN ZHU HAI,FARELO DE SOJA,,Exp,PARANAGUA
,DIAMANTI,MILHO,,Exp,PARANAGUA
,IRENES RULE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,ZIM USA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,COSCO SHIPPING DANUBE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,PELICAN ISLAND,CEVADA CERVEJEIRA,,Imp,PARANAGUA
,BREMERHAVEN EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,UNITY,UREIA,,Imp,PARANAGUA
,DARYA NEETI,SOJA,,Exp,PARANAGUA
,ANTHEA,MILHO,,Exp,PARANAGUA
